Filename, Real Coefficient, Imag Coefficient
circuit_191.data_stats_BD_0_0_20_24_average.csv, 1.001269, 0.013592
circuit_191.data_stats_BD_MIS_0_0_20_24_average.csv, 0.554193, 1.136585
circuit_191.data_stats_IS_0_0_22_24_average.csv, 0.925838, 0.203967
circuit_192.data_stats_BD_0_0_20_24_average.csv, 1.118332, 1.065305
circuit_192.data_stats_BD_MIS_0_0_20_24_average.csv, 0.689278, 0.582196
circuit_192.data_stats_IS_0_0_22_24_average.csv, 0.509969, 0.455598
circuit_193.data_stats_BD_0_0_20_24_average.csv, 0.273512, 0.487442
circuit_193.data_stats_BD_MIS_0_0_20_24_average.csv, 0.781085, 0.993343
circuit_193.data_stats_IS_0_0_22_24_average.csv, 5.296259, 0.187601
circuit_194.data_stats_BD_0_0_20_24_average.csv, 0.979648, 0.943281
circuit_194.data_stats_BD_MIS_0_0_20_24_average.csv, 0.584465, 0.714643
circuit_194.data_stats_IS_0_0_22_24_average.csv, 0.962664, 0.887137
circuit_195.data_stats_BD_0_0_21_24_average.csv, 6.881350, 0.018490
circuit_195.data_stats_BD_MIS_0_0_21_24_average.csv, 0.703797, 0.728684
circuit_195.data_stats_IS_0_0_23_24_average.csv, 0.297836, 0.352746
circuit_196.data_stats_BD_0_0_21_24_average.csv, 0.547872, 0.435165
circuit_196.data_stats_BD_MIS_0_0_21_24_average.csv, 0.285720, 0.370798
circuit_196.data_stats_IS_0_0_23_24_average.csv, 10.570247, 0.279850
circuit_305.data_stats_BD_0_0_20_12_average.csv, 0.872717, 1.557696
circuit_305.data_stats_BD_MIS_0_0_20_12_average.csv, 0.700468, 0.944038
circuit_305.data_stats_IS_0_0_22_12_average.csv, 0.920521, 0.979408
circuit_315.data_stats_BD_0_0_29_24_average.csv, 0.405905, 0.890098
circuit_315.data_stats_BD_MIS_0_0_20_12_average.csv, 0.891045, 0.930680
circuit_315.data_stats_IS_0_0_29_24_average.csv, 1.422531, 1.370233
circuit_325.data_stats_BD_0_0_29_48_average.csv, 0.169369, 0.103276
circuit_325.data_stats_BD_MIS_0_0_25_48_average.csv, 0.811153, 0.882177
circuit_325.data_stats_IS_0_0_29_48_average.csv, 10.456164, 0.975721
circuit_4110.data_stats_BD_0_1023_23_12_average.csv, 0.256528, 0.582828
circuit_4110.data_stats_BD_MIS_0_1023_20_12_average.csv, 0.826199, 0.276034
circuit_4110.data_stats_IS_0_1023_25_12_average.csv, 0.040156, 0.109885
circuit_411024.data_stats_BD_MIS_0_1023_24_48.csv, 1.181502, 0.757084
circuit_41120.data_stats_BD_MIS_0_1023_27_48.csv, 0.472230, 1.756784
circuit_4120.data_stats_BD_0_1023_23_12_average.csv, 0.116288, 0.228598
circuit_4120.data_stats_BD_MIS_0_1023_22_12_average.csv, 0.908439, 0.643714
circuit_4120.data_stats_IS_0_1023_25_12_average.csv, 0.686182, 2.197502
circuit_412048.data_stats_BD_MIS_0_1023_24_48.csv, 0.981375, 0.701328
circuit_41256.data_stats_BD_MIS_0_1023_28_48.csv, 0.582295, 3.491253
circuit_4130.data_stats_BD_0_1023_24_24_average.csv, 0.919777, 0.000000
circuit_4130.data_stats_BD_MIS_0_1023_22_12_average.csv, 0.909139, 3.855472
circuit_4130.data_stats_IS_0_1023_26_24_average.csv, 0.117489, 0.000000
circuit_4140.data_stats_BD_0_1023_24_24_average.csv, 0.219119, 0.010466
circuit_4140.data_stats_BD_MIS_0_1023_23_24_average.csv, 0.766027, 0.417590
circuit_4140.data_stats_IS_0_1023_26_24_average.csv, 0.010163, 0.000020
circuit_414096.data_stats_BD_MIS_0_1023_25_48.csv, 0.664931, 1.294732
