trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
262144 , 6853961 , 11272192 , 0.011628 , -0.000000, 0.976879, 0.000000
524288 , 6855803 , 22544384 , 0.017442 , -0.000000, 0.965421, 0.000000
786432 , 6856719 , 33816576 , 0.023256 , -0.000000, 0.954029, 0.000000
1048576 , 6865769 , 45088768 , 0.021802 , -0.000000, 0.956871, 0.000000
1310720 , 6935435 , 56360960 , 0.019767 , -0.000000, 0.960856, 0.000000
1572864 , 6987553 , 67633152 , 0.018411 , -0.000000, 0.963517, 0.000000
1835008 , 7006795 , 78905344 , 0.017442 , -0.000000, 0.965421, 0.000000
2097152 , 7094161 , 90177536 , 0.017442 , -0.000000, 0.965421, 0.000000
2359296 , 13667352 , 101449728 , 0.016796 , -0.000000, 0.966690, 0.000000
2621440 , 13671851 , 112721920 , 0.016860 , -0.000000, 0.966563, 0.000000
2883584 , 13706045 , 123994112 , 0.016385 , -0.000000, 0.967499, 0.000000
3145728 , 13732768 , 135266304 , 0.015019 , -0.000000, 0.970187, 0.000000
3407872 , 13922920 , 146538496 , 0.016995 , -0.000000, 0.966300, 0.000000
3670016 , 13994488 , 157810688 , 0.018688 , -0.000000, 0.962974, 0.000000
3932160 , 14038136 , 169082880 , 0.018605 , -0.000000, 0.963137, 0.000000
4194304 , 14070636 , 180355072 , 0.018532 , -0.000000, 0.963279, 0.000000
4456448 , 20595783 , 191627264 , 0.019494 , -0.000000, 0.961392, 0.000000
4718592 , 20639497 , 202899456 , 0.020672 , -0.000000, 0.959084, 0.000000
4980736 , 20662135 , 214171648 , 0.020808 , -0.000000, 0.958817, 0.000000
5242880 , 20799164 , 225443840 , 0.020349 , -0.000000, 0.959716, 0.000000
5505024 , 21072174 , 236716032 , 0.020487 , -0.000000, 0.959445, 0.000000
5767168 , 21156319 , 247988224 , 0.020613 , -0.000000, 0.959199, 0.000000
6029312 , 21174339 , 259260416 , 0.020475 , -0.000000, 0.959469, 0.000000
6291456 , 21224059 , 270532608 , 0.020349 , -0.000000, 0.959716, 0.000000
6553600 , 27620705 , 281804800 , 0.020465 , -0.000000, 0.959489, 0.000000
6815744 , 27667052 , 293076992 , 0.020125 , -0.000000, 0.960155, 0.000000
7077888 , 27692843 , 304349184 , 0.019811 , -0.000000, 0.960771, 0.000000
7340032 , 27860837 , 315621376 , 0.019726 , -0.000000, 0.960937, 0.000000
7602176 , 28198110 , 326893568 , 0.019848 , -0.000000, 0.960699, 0.000000
7864320 , 28346381 , 338165760 , 0.020543 , -0.000000, 0.959337, 0.000000
8126464 , 28370098 , 349437952 , 0.021005 , -0.000000, 0.958431, 0.000000
8388608 , 28483232 , 360710144 , 0.021257 , -0.000000, 0.957937, 0.000000
8650752 , 34471275 , 371982336 , 0.021318 , -0.000000, 0.957819, 0.000000
8912896 , 34527895 , 383254528 , 0.021546 , -0.000000, 0.957373, 0.000000
9175040 , 34557552 , 394526720 , 0.021429 , -0.000000, 0.957602, 0.000000
9437184 , 34753586 , 405798912 , 0.021641 , -0.000000, 0.957187, 0.000000
9699328 , 35161695 , 417071104 , 0.021684 , -0.000000, 0.957101, 0.000000
9961472 , 35346178 , 428343296 , 0.021573 , -0.000000, 0.957320, 0.000000
10223616 , 35361644 , 439615488 , 0.021914 , -0.000000, 0.956652, 0.000000
10485760 , 35515522 , 450887680 , 0.021512 , -0.000000, 0.957439, 0.000000
10747904 , 41276753 , 462159872 , 0.021554 , -0.000000, 0.957356, 0.000000
11010048 , 41422907 , 473432064 , 0.021456 , -0.000000, 0.957548, 0.000000
11272192 , 41436450 , 484704256 , 0.021363 , -0.000000, 0.957731, 0.000000
11534336 , 41628492 , 495976448 , 0.021406 , -0.000000, 0.957646, 0.000000
11796480 , 42132757 , 507248640 , 0.021576 , -0.000000, 0.957313, 0.000000
12058624 , 42325129 , 518520832 , 0.021739 , -0.000000, 0.956994, 0.000000
12320768 , 42336397 , 529793024 , 0.021524 , -0.000000, 0.957415, 0.000000
12582912 , 42560982 , 541065216 , 0.021560 , -0.000000, 0.957345, 0.000000
12845056 , 48112247 , 552337408 , 0.021476 , -0.000000, 0.957509, 0.000000
13107200 , 48240815 , 563609600 , 0.021744 , -0.000000, 0.956984, 0.000000
13369344 , 48328477 , 574881792 , 0.022344 , -0.000000, 0.955812, 0.000000
13631488 , 48468080 , 586153984 , 0.022138 , -0.000000, 0.956215, 0.000000
13893632 , 49140003 , 597426176 , 0.021939 , -0.000000, 0.956602, 0.000000
14155776 , 49323764 , 608698368 , 0.021964 , -0.000000, 0.956555, 0.000000
14417920 , 49332802 , 619970560 , 0.021882 , -0.000000, 0.956716, 0.000000
14680064 , 49609574 , 631242752 , 0.021802 , -0.000000, 0.956871, 0.000000
14942208 , 55080604 , 642514944 , 0.021930 , -0.000000, 0.956621, 0.000000
15204352 , 55249345 , 653787136 , 0.022153 , -0.000000, 0.956184, 0.000000
15466496 , 55392456 , 665059328 , 0.021876 , -0.000000, 0.956726, 0.000000
15728640 , 55439290 , 676331520 , 0.021705 , -0.000000, 0.957060, 0.000000
15990784 , 56068480 , 687603712 , 0.021826 , -0.000000, 0.956824, 0.000000
16252928 , 56270035 , 698875904 , 0.022131 , -0.000000, 0.956229, 0.000000
16515072 , 56286121 , 710148096 , 0.022056 , -0.000000, 0.956374, 0.000000
16777216 , 56471654 , 721420288 , 0.022075 , -0.000000, 0.956338, 0.000000
